ACCIDENT_NO,ANY_TRAILER,NUM_VEHICLES
T20120000900,0,2
T20120000902,0,2
T20120000905,0,2
T20120000906,0,1
T20120000915,1,1
T20120000917,0,1
T20120000919,0,2
T20120000920,0,2
T20120000924,0,2
T20120000925,0,2
T20120000927,0,2
T20120000930,0,2
T20120000939,0,2
T20120000941,0,2
T20120000942,0,3
T20120000943,0,1
T20120000944,0,2
T20120000945,0,2
T20120000947,0,2
T20120000949,0,1
T20120000955,0,1
T20120000960,0,1
T20120000961,0,1
T20120000968,0,1
T20120000974,0,4
T20120000976,0,1
T20120000978,0,1
T20120000979,0,1
T20120000980,0,3
T20120000990,0,2
T20120000992,0,1
T20120000994,0,1
T20120000995,0,2
T20120001000,1,2
T20120001007,1,2
T20120001015,0,2
T20120001016,0,2
T20120001019,0,1
T20120001026,0,2
T20120001033,0,1
T20120001035,0,1
T20120001037,0,2
T20120001040,0,1
T20120001041,0,1
T20120001042,0,2
T20120001047,0,2
T20120001050,0,2
T20120001051,0,2
T20120001052,0,1
T20120001053,0,3
T20120001054,0,2
T20120001055,0,1
T20120001057,0,1
T20120001059,0,2
T20120001061,0,2
T20120001063,0,2
T20120001064,0,2
T20120001065,0,1
T20120001066,0,2
T20120001067,0,2
T20120001068,0,1
T20120001069,0,2
T20120001070,0,2
T20120001073,0,1
T20120001074,0,2
T20120001075,0,1
T20120001078,0,1
T20120001079,0,2
T20120001080,0,1
T20120001081,0,2
T20120001082,0,1
T20120001083,0,1
T20120001085,0,2
T20120001089,0,2
T20120001090,0,2
T20120001091,0,1
T20120001096,0,1
T20120001100,0,2
T20120001104,0,2
T20120001106,0,2
T20120001110,0,2
T20120001113,0,2
T20120001116,0,2
T20120001118,0,2
T20120001120,1,2
T20120001123,0,1
T20120001124,0,1
T20120001128,0,1
T20120001129,0,1
T20120001131,0,2
T20120001132,0,1
T20120001135,0,1
T20120001137,0,3
T20120001140,0,1
T20120001145,0,1
T20120001148,0,2
T20120001149,0,2
T20120001150,0,2
T20120001152,0,2
T20120001156,0,1
T20120001159,0,1
T20120001160,0,2
T20120001161,0,2
T20120001162,0,2
T20120001164,0,2
T20120001165,0,2
T20120001166,0,3
T20120001169,1,2
T20120001173,0,2
T20120001179,0,1
T20120001180,0,3
T20120001183,0,2
T20120001185,0,2
T20120001187,0,2
T20120001190,0,2
T20120001191,0,1
T20120001194,0,1
T20120001197,0,2
T20120001198,0,2
T20120001209,0,2
T20120001210,0,1
T20120001215,0,1
T20120001216,0,1
T20120001223,0,2
T20120001225,0,4
T20120001227,0,1
T20120001229,1,2
T20120001231,0,2
T20120001234,0,3
T20120001239,0,2
T20120001242,0,1
T20120001243,0,2
T20120001244,0,2
T20120001245,0,2
T20120001248,0,3
T20120001250,0,2
T20120001251,1,2
T20120001258,0,1
T20120001259,0,1
T20120001260,0,2
T20120001264,0,3
T20120001271,0,2
T20120001272,0,1
T20120001274,1,2
T20120001275,0,2
T20120001278,0,2
T20120001281,0,1
T20120001283,0,1
T20120001284,0,1
T20120001289,0,2
T20120001290,0,1
T20120001291,0,1
T20120001292,0,2
T20120001293,0,2
T20120001296,0,1
T20120001298,0,2
T20120001299,0,2
T20120001300,0,1
T20120001301,0,1
T20120001302,0,2
T20120001303,0,1
T20120001306,0,2
T20120001307,0,2
T20120001309,0,3
T20120001311,0,2
T20120001312,0,3
T20120001314,0,3
T20120001316,0,2
T20120001318,0,4
T20120001323,0,1
T20120001326,0,1
T20120001339,0,1
T20120001340,0,3
T20120001343,0,1
T20120001344,0,2
T20120001347,0,1
T20120001354,0,1
T20120001355,0,1
T20120001356,0,2
T20120001357,0,3
T20120001361,0,1
T20120001364,0,2
T20120001366,0,2
T20120001369,0,1
T20120001370,0,2
T20120001371,0,3
T20120001372,0,2
T20120001374,0,2
T20120001375,0,2
T20120001378,0,2
T20120001382,0,1
T20120001390,0,2
T20120001391,0,2
T20120001392,0,2
T20120001395,0,2
T20120001399,0,4
T20120001400,0,2
T20120001401,0,1
T20120001406,0,1
T20120001407,0,3
T20120001408,0,2
T20120001410,0,2
T20120001411,0,1
T20120001412,0,1
T20120001413,0,2
T20120001415,1,2
T20120001417,0,1
T20120001419,0,2
T20120001421,0,2
T20120001422,0,2
T20120001426,0,1
T20120001427,0,1
T20120001429,0,1
T20120001431,0,2
T20120001435,0,2
T20120001437,0,1
T20120001438,1,1
T20120001441,0,1
T20120001444,0,1
T20120001448,0,2
T20120001449,0,1
T20120001452,0,2
T20120001455,0,1
T20120001456,0,3
T20120001457,0,2
T20120001458,0,1
T20120001460,0,2
T20120001461,0,1
T20120001462,0,1
T20120001463,0,2
T20120001467,0,1
T20120001469,0,2
T20120001470,0,1
T20120001475,0,2
T20120001476,0,2
T20120001477,0,2
T20120001478,0,2
T20120001479,0,1
T20120001481,0,3
T20120001483,0,2
T20120001484,0,2
T20120001485,0,2
T20120001488,0,1
T20120001489,0,2
T20120001491,0,1
T20120001494,0,2
T20120001496,0,2
T20120001497,0,1
T20120001500,0,1
T20120001501,0,1
T20120001502,1,2
T20120001503,0,1
T20120001504,0,2
T20120001509,0,2
T20120001512,0,1
T20120001514,0,2
T20120001515,0,2
T20120001516,0,2
T20120001520,0,1
T20120001523,0,2
T20120001527,0,1
T20120001529,0,1
T20120001531,0,2
T20120001532,0,1
T20120001534,0,3
T20120001536,0,1
T20120001538,0,1
T20120001539,0,2
T20120001541,0,1
T20120001542,0,1
T20120001543,0,1
T20120001547,0,1
T20120001549,0,2
T20120001550,0,2
T20120001551,0,1
T20120001553,0,1
T20120001555,0,3
T20120001557,0,1
T20120001558,0,2
T20120001559,0,2
T20120001561,0,1
T20120001562,0,3
T20120001566,0,1
T20120001567,0,2
T20120001568,0,1
T20120001569,0,1
T20120001571,0,1
T20120001576,0,1
T20120001578,0,3
T20120001584,0,2
T20120001586,0,2
T20120001587,0,2
T20120001588,0,1
T20120001591,0,2
T20120001592,0,3
T20120001597,0,1
T20120001602,0,2
T20120001603,0,1
T20120001608,0,2
T20120001611,0,3
T20120001614,0,3
T20120001615,0,4
T20120001617,0,1
T20120001618,0,2
T20120001619,0,1
T20120001620,0,2
T20120001621,0,3
T20120001630,0,3
T20120001632,0,1
T20120001641,0,2
T20120001642,0,1
T20120001643,0,2
T20120001644,0,2
T20120001647,1,3
T20120001654,0,2
T20120001656,0,2
T20120001657,0,2
T20120001661,0,2
T20120001663,0,1
T20120001665,0,2
T20120001667,0,2
T20120001668,0,2
T20120001669,1,1
T20120001670,0,2
T20120001671,0,1
T20120001673,0,2
T20120001677,0,1
T20120001679,0,1
T20120001686,0,2
T20120001687,0,2
T20120001689,0,1
T20120001693,0,2
T20120001696,0,2
T20120001700,0,2
T20120001702,0,2
T20120001707,0,3
T20120001708,0,2
T20120001709,0,1
T20120001710,0,4
T20120001712,0,2
T20120001713,0,2
T20120001715,0,2
T20120001716,0,2
T20120001718,0,2
T20120001719,0,2
T20120001724,0,2
T20120001725,0,1
T20120001727,0,2
T20120001732,0,1
T20120001733,0,1
T20120001734,0,2
T20120001735,0,1
T20120001740,0,2
T20120001742,0,2
T20120001743,0,2
T20120001744,0,3
T20120001746,0,2
T20120001747,0,2
T20120001748,0,2
T20120001750,0,2
T20120001759,1,2
T20120001760,0,2
T20120001763,0,2
T20120001765,0,2
T20120001770,0,2
T20120001771,0,2
T20120001772,1,1
T20120001773,0,1
T20120001777,0,2
T20120001778,0,2
T20120001780,0,2
T20120001781,0,2
T20120001782,0,1
T20120001783,0,2
T20120001786,0,3
T20120001787,0,2
T20120001791,0,2
T20120001793,0,2
T20120001794,0,1
T20120001795,0,2
T20120001797,0,2
T20120001802,0,1
T20120001804,0,1
T20120001806,0,1
T20120001808,0,1
T20120001809,0,3
T20120001818,0,2
T20120001820,0,1
T20120001821,0,3
T20120001822,0,3
T20120001824,0,2
T20120001825,0,1
T20120001826,0,1
T20120001827,0,2
T20120001830,0,1
T20120001833,0,2
T20120001837,0,1
T20120001840,0,1
T20120001843,0,1
T20120001847,1,1
T20120001849,1,2
T20120001851,0,2
T20120001852,0,2
T20120001853,0,2
T20120001855,0,2
T20120001859,0,3
T20120001860,0,1
T20120001864,0,1
T20120001865,0,2
T20120001870,0,1
T20120001872,0,2
T20120001873,0,2
T20120001876,0,1
T20120001879,0,3
T20120001883,0,1
T20120001884,0,1
T20120001888,0,1
T20120001891,0,2
T20120001894,0,1
T20120001898,0,4
T20120001900,0,3
T20120001906,0,1
T20120001910,0,4
T20120001916,0,3
T20120001921,0,5
T20120001925,0,2
T20120001928,0,2
T20120001930,0,1
T20120001932,0,3
T20120001934,0,2
T20120001935,0,1
T20120001942,0,2
T20120001944,0,1
T20120001948,0,2
T20120001951,0,3
T20120001952,0,2
T20120001954,0,2
